,Jurisdiction
0,ALABAMA  MIDDLE
1,ALABAMA NORTHERN
2,ALABAMA  SOUTHERN
3,ARIZONA
4,ARKANSAS EASTERN
5,ARKANSAS  WESTERN
6,CALIFORNIA CENTRAL
7,CALIFORNIA EASTERN
8,CALIFORNIA NORTHERN
9,CALIFORNIA SOUTHERN
10,COLORADO
11,CONNECTICUT
12,DELAWARE
13,DISTRICT OF COLUMBIA
14,FLORIDA MIDDLE
15,FLORIDA  NORTHERN
16,FLORIDA SOUTHERN
17,GEORGIA MIDDLE
18,GEORGIA  NORTHERN
19,GEORGIA SOUTHERN
20,HAWAII
21,IDAHO
22,ILLINOIS CENTRAL
23,ILLINOIS NORTHERN
24,ILLINOIS SOUTHERN
25,INDIANA NORTHERN
26,INDIANA SOUTHERN
27,IOWA NORTHERN
28,IOWA SOUTHERN
29,KANSAS
30,KENTUCKY WESTERN
31,LOUISIANA EASTERN
32,LOUISIANA MIDDLE
33,LOUISIANA WESTERN
34,MAINE
35,MARYLAND
36,MASSACHUSETTS
37,MICHIGAN EASTERN
38,MICHIGAN WESTERN
39,MINNESOTA
40,MISSISSIPPI NORTHERN
41,MISSISSIPPI SOUTHERN
42,MISSOURI EASTERN
43,MISSOURI WESTERN
44,NEBRASKA
45,NEVADA
46,NEW HAMPSHIRE
47,NEW JERSEY
48,NEW MEXICO
49,NEW YORK EASTERN
50,NEW YORK  NORTHERN
51,NEW YORK SOUTHERN
52,NEW YORK  WESTERN
53,NORTH CAROLINA EASTERN
54,NORTH CAROLINA  MIDDLE
55,NORTH CAROLINA WESTERN
56,OHIO NORTHERN
57,OHIO SOUTHERN
58,OKLAHOMA EASTERN
59,OKLAHOMA NORTHERN
60,OKLAHOMA WESTERN
61,OREGON
62,PENNSYLVANIA EASTERN
63,PENNSYLVANIA MIDDLE
64,PENNSYLVANIA WESTERN
65,PUERTO RICO
66,RHODE ISLAND
67,SOUTH CAROLINA
68,TENNESSEE EASTERN
69,TENNESSEE  MIDDLE
70,TENNESSEE WESTERN
71,TEXAS EASTERN
72,TEXAS NORTHERN
73,TEXAS SOUTHERN
74,TEXAS WESTERN
75,UTAH
76,VERMONT
77,VIRGINIA EASTERN
78,VIRGIN ISLANDS
79,WASHINGTON  WESTERN
80,WEST VIRGINIA NORTHERN
81,WEST VIRGINIA SOUTHERN
82,WISCONSIN  EASTERN
83,WYOMING
