,Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related ,Results Related ,Intercept%,counts,geocode,lat,lng,freq
0,ALABAMA  MIDDLE,2013-74601,"ALBRITTON, III",O'BRIEN,NARCOTICS,WC,D,2013-06-26,30,3,120,INSTALLED AND USED,116,0,0,0,0,150072,6000,0,0,0,0,0,0,,,,,"{'lat': 34.2728916, 'lng': -86.20962829999999}",34.2728916,-86.20962829999998,4
4,ALABAMA NORTHERN,2015-77519,HAIKALA,OBRIEN,BRIBERY,"EO,WC",D,2015-10-29,30,0,30,INSTALLED AND USED,30,120,107,3597,573,29104,615,0,0,0,0,0,0,,,15.93,,"{'lat': 33.4107169, 'lng': -86.80772639999999}",33.4107169,-86.80772639999998,10
14,ALABAMA  SOUTHERN,2017-74609,STEELE,HULSER,NARCOTICS,WC,D,2017-05-19,30,1,60,INSTALLED AND USED,60,302,55,18094,1469,76220,1700,3,0,0,0,0,0,,,8.12,,"{'lat': 31.487996, 'lng': -87.325121}",31.487996000000003,-87.325121,7
21,ARIZONA,2012-74649,ZAPATA,BLANCO,NARCOTICS,WC,D,2012-10-18,30,0,30,INSTALLED AND USED,29,0,0,0,0,37893,1875,0,0,0,0,0,0,,,,,"{'lat': 34.0489281, 'lng': -111.0937311}",34.048928100000005,-111.0937311,61
82,ARKANSAS EASTERN,2016-74684,"MOODY, JR.",O'BRIEN,NARCOTICS,WC,D,2016-04-01,30,1,60,INSTALLED AND USED,58,0,0,0,0,73286,1250,0,0,0,0,0,0,,,,,"{'lat': 34.7959566, 'lng': -90.9895052}",34.7959566,-90.9895052,28
110,ARKANSAS  WESTERN,2017-69115,BROOKS,TREVOR N. MCFADDEN,DRUGS - ILLEGAL,"TX,WC",D,2017-09-08,27,0,27,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 36.3640402, 'lng': -93.56739069999999}",36.3640402,-93.5673907,2
112,CALIFORNIA CENTRAL,2011-74612,PREGERSON,WEINSTEIN,NARCOTICS,TX,D,2011-09-30,30,1,60,INSTALLED AND USED,59,0,0,0,0,64761,3750,0,0,0,0,0,0,,,,,"{'lat': 38.39277999999999, 'lng': -121.57194}",38.39277999999999,-121.57193999999998,223
335,CALIFORNIA EASTERN,2013-74646,MUELLER,BITKOWER,NARCOTICS,WC,D,2013-04-22,30,2,90,INSTALLED AND USED,89,0,0,0,0,46582,4215,0,0,0,0,0,0,,,,,"{'lat': 38.9134573, 'lng': -120.0046709}",38.9134573,-120.00467090000001,33
368,CALIFORNIA NORTHERN,2014-74673,WILKEN,BITKOWER,NARCOTICS,WC,D,2014-03-05,30,0,30,INSTALLED AND USED,30,89,55,2655,182,37905,645,5,0,0,0,0,0,,,6.85,,"{'lat': 38.8375215, 'lng': -120.8958242}",38.8375215,-120.8958242,74
442,CALIFORNIA SOUTHERN,2012-74693,HUFF,BROWN,NARCOTICS,WC,D,2011-10-26,30,2,90,INSTALLED AND USED,86,0,0,0,0,71915,12890,0,0,0,0,0,0,,,,,"{'lat': 33.6920515, 'lng': -117.9184312}",33.6920515,-117.91843119999999,62
504,COLORADO,2016-74760,DANIEL,DOWNING,NARCOTICS,AP,D,2016-09-30,30,1,60,INSTALLED AND USED,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 39.5500507, 'lng': -105.7820674}",39.55005070000001,-105.78206740000002,18
522,CONNECTICUT,2016-74778,UNDERHILL,SUH,NARCOTICS,WC,D,2016-11-17,30,0,30,INSTALLED AND USED,30,11,8,327,93,166905,11300,25,0,0,0,0,0,,,28.44,,"{'lat': 41.6032207, 'lng': -73.087749}",41.60322070000001,-73.087749,41
563,DELAWARE,2018-72020,CONNOLLY,HULSER,NARCOTICS,"TX,WC",D,2018-10-05,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 38.9108325, 'lng': -75.52766989999999}",38.9108325,-75.52766989999998,1
564,DISTRICT OF COLUMBIA,2018-68884,MCFADDEN,HULSER,POSSESSION,"TX,WC",D,2018-08-09,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 38.9071923, 'lng': -77.0368707}",38.9071923,-77.03687070000001,21
585,FLORIDA MIDDLE,2016-74809,BYRON,DOWNING,NARCOTICS,WC,D,2016-11-22,30,0,30,INSTALLED AND USED,30,454,222,13610,1084,27866,1700,9,0,0,0,0,9,,,7.96,,"{'lat': 28.5425896, 'lng': -81.38420099999999}",28.5425896,-81.38420099999998,58
643,FLORIDA  NORTHERN,2015-74811,RODGERS,O'BRIEN,NARCOTICS,WC,D,2015-06-02,30,2,90,INSTALLED AND USED,89,135,145,11994,4243,62767,3330,8,0,0,0,0,8,,,35.38,,"{'lat': 30.414683, 'lng': -87.215237}",30.414683,-87.215237,8
651,FLORIDA SOUTHERN,2016-74823,"SCOLA, JR.",O'BRIEN,NARCOTICS,TX,D,2016-07-21,30,0,30,INSTALLED AND USED,29,0,0,0,0,40935,2517,0,0,0,0,0,0,,,,,"{'lat': 28.0314378, 'lng': -81.94503979999999}",28.031437800000003,-81.94503979999998,34
685,GEORGIA MIDDLE,2018-71837,TREADWELL,MATTHEW MINER,DRUGS - ILLEGAL,WC,D,2018-10-08,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 32.8105025, 'lng': -83.7328869}",32.810502500000005,-83.73288690000001,10
695,GEORGIA  NORTHERN,2016-74851,COHEN,O'BRIEN,NARCOTICS,TX,D,2016-07-22,30,1,60,INSTALLED AND USED,60,119,93,7123,2507,82965,15000,0,0,0,0,0,0,,,35.2,,"{'lat': 33.9544182, 'lng': -84.5235706}",33.954418200000006,-84.52357059999999,24
719,GEORGIA SOUTHERN,2016-74898,"MOORE, JR.",BLANCO,NARCOTICS,WC,D,2016-06-27,30,1,60,INSTALLED AND USED,60,253,273,15155,434,78740,4220,2,0,0,0,0,0,,,2.86,,"{'lat': 32.42054890000001, 'lng': -81.78653469999999}",32.42054890000001,-81.78653469999998,30
749,HAWAII,2013-74906,MOLLWAY,O'BRIEN,NARCOTICS,WC,D,2013-10-23,30,0,30,INSTALLED AND USED,30,0,0,0,0,37755,495,0,0,0,0,0,0,,,,,"{'lat': 19.8967662, 'lng': -155.5827818}",19.8967662,-155.58278180000002,7
756,IDAHO,2018-74911,WINMILL,HULSER,NARCOTICS,WC,D,2018-02-15,30,0,30,INSTALLED AND USED,25,45,46,1137,789,34265,4350,9,0,0,0,0,0,,,69.39,,"{'lat': 44.0682019, 'lng': -114.7420408}",44.0682019,-114.74204080000001,2
758,ILLINOIS CENTRAL,2018-72108,BRUCE,HULSER,CONSPIRACY,"TX,WC,WO",D,2018-02-20,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 40.6331249, 'lng': -89.3985283}",40.6331249,-89.3985283,2
760,ILLINOIS NORTHERN,2016-74923,CASTILLO,O'BRIEN,NARCOTICS,WC,D,2016-08-30,30,0,30,INSTALLED AND USED,30,0,0,0,0,37910,650,0,0,0,0,0,0,,,,,"{'lat': 42.2696142, 'lng': -89.0984374}",42.26961420000001,-89.09843740000001,114
874,ILLINOIS SOUTHERN,2017-77625,REAGAN,HULSER,NARCOTICS,WC,H,2017-10-12,30,0,30,INSTALLED AND USED,30,204,44,6123,0,264106,650,0,0,0,0,0,0,,,0.0,,"{'lat': 37.7100209, 'lng': -89.2225941}",37.710020899999996,-89.2225941,3
877,INDIANA NORTHERN,2016-74959,SIMON,O'BRIEN,NARCOTICS,TX,D,2016-08-08,30,1,60,INSTALLED AND USED,47,251,148,11810,2159,43814,2026,0,0,0,0,0,0,,,18.28,,"{'lat': 41.294564, 'lng': -86.12110009999999}",41.294564,-86.12110009999998,11
888,INDIANA SOUTHERN,2016-74973,PRATT,BLANCO,NARCOTICS,WC,D,2016-04-26,30,0,30,INSTALLED AND USED,24,0,0,0,0,39808,10000,0,0,0,0,0,0,,,,,"{'lat': 38.47941, 'lng': -87.2854334}",38.479409999999994,-87.2854334,29
917,IOWA NORTHERN,2018-69125,READE,HULSER,CONSPIRACY,"TX,WC",D,2018-02-23,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 41.976634, 'lng': -91.666917}",41.976634000000004,-91.666917,9
926,IOWA SOUTHERN,2018-69676,JARVEY,HULSER,DRUGS - ILLEGAL,"TX,WC",D,2017-12-12,30,1,51,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 41.5875486, 'lng': -93.6152116}",41.587548600000005,-93.6152116,2
928,KANSAS,2018-69577,CRABTREE,HULSER,CONSPIRACY,WC,D,2018-09-11,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 39.011902, 'lng': -98.4842465}",39.011902,-98.4842465,8
936,KENTUCKY WESTERN,2017-69446,HALE,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,2017-11-20,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 36.9853543, 'lng': -86.456138}",36.9853543,-86.456138,36
972,LOUISIANA EASTERN,2016-74828,BARBIER,BLANCO,NARCOTICS,WC,D,2016-10-17,30,0,30,INSTALLED AND USED,30,134,276,4021,2555,25226,625,0,0,0,0,0,0,,,63.54,,"{'lat': 29.948559, 'lng': -90.0689833}",29.948559000000003,-90.0689833,27
999,LOUISIANA MIDDLE,2017-69184,JACKSON,DOWNING,CONSPIRACY,"TX,WC",D,2017-06-23,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 39.4325541, 'lng': -91.073599}",39.432554100000004,-91.073599,27
1026,LOUISIANA WESTERN,2012-74850,"HICKS, JR.",BLANCO,NARCOTICS,WC,D,2012-08-14,30,0,30,INSTALLED AND USED,20,40,6,798,182,25465,625,4,0,0,0,0,0,,,22.81,,"{'lat': 32.4616114, 'lng': -93.72171420000001}",32.4616114,-93.7217142,7
1033,MAINE,2017-71267,LEVY,SWARTZ,GAMBLING,WC,D,2017-03-03,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 45.253783, 'lng': -69.4454689}",45.253783,-69.4454689,8
1041,MARYLAND,2013-74864,MOTZ,HULSER,NARCOTICS,TX,D,2012-12-05,30,1,60,INSTALLED AND USED,38,219,159,8338,2038,47431,235,0,0,0,0,0,0,,,24.44,,"{'lat': 39.0457549, 'lng': -76.64127119999999}",39.0457549,-76.64127119999998,42
1083,MASSACHUSETTS,2014-74905,YOUNG,BLANCO,NARCOTICS,WC,D,2014-09-29,30,1,60,INSTALLED AND USED,56,30,50,1662,770,57978,5950,0,0,0,0,0,0,,,46.33,,"{'lat': 42.4072107, 'lng': -71.3824374}",42.4072107,-71.3824374,76
1159,MICHIGAN EASTERN,2013-74994,ROBERTS,BLANCO,NARCOTICS,WC,D,2013-10-11,30,0,30,INSTALLED AND USED,22,0,0,0,0,29199,1875,0,0,0,0,0,0,,,,,"{'lat': 42.2506803, 'lng': -83.624089}",42.2506803,-83.624089,53
1212,MICHIGAN WESTERN,2018-77274,JONKER,HULSER,DRUGS - ILLEGAL,WC,D,2018-07-02,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 42.2837336, 'lng': -85.6102507}",42.2837336,-85.6102507,2
1214,MINNESOTA,2017-71865,ERICKSEN,HULSER,DRUGS - ILLEGAL,"TX,WC",D,2017-11-06,30,1,57,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 46.729553, 'lng': -94.6858998}",46.729553,-94.6858998,29
