,byline,headline,open_date,pick_or_not,pub_date,rating,title
0,A.O. SCOTT,‘Once Upon a Time … in Hollywood’ Review: We Lost It at the Movies,2019-07-26,1,2019-07-24,R,Once Upon a Time ... in Hollywood
1,BILGE EBIRI,‘Angels Are Made of Light’ Review: Despair Meets Hope in Kabul,2019-07-24,1,2019-07-23,,Angels Are Made of Light
2,BEN KENIGSBERG,‘The Great Hack’ Review: How Your Data Became a Commodity,2019-07-24,1,2019-07-23,,The Great Hack
3,JEANNETTE CATSOULIS,‘Rosie’ Review: Lean Streets,2019-07-19,1,2019-07-18,PG-13,Rosie
4,BEN KENIGSBERG,‘A Faithful Man’ Review: Low Key. Low Fidelity.,2019-07-19,1,2019-07-18,,A Faithful Man
5,ELISABETH VINCENTELLI,‘Point Blank’ Review: A Buddy Flick That Hobbles Along,2019-07-12,0,2019-07-18,,Point Blank
6,GLENN KENNY,‘Cassandro the Exotico!’  Review: A Gay Luchador Body Slams Life,2019-07-19,0,2019-07-18,,"Cassandro, the Exotico!"
7,TEO BUGBEE,‘Bottom of the 9th’ Review: A Stroll Around the Baseball Diamond,2019-07-19,0,2019-07-18,R,Bottom of the 9th
8,A.O. SCOTT,Review: Making a Spectacle of History (and Herself),2019-07-19,0,2019-07-18,,I Do Not Care If We Go Down in History as Barbarians
9,JEANNETTE CATSOULIS,‘She’s Just a Shadow’ Review: Tokyo Grift,,0,2019-07-18,,She's Just a Shadow
10,JEANNETTE CATSOULIS,‘Luz’ Review: Crazed and Confused,2019-07-19,0,2019-07-18,,Luz
11,BEN KENIGSBERG,‘Tiny: The Life of Erin Blackwell’ Review: A Troubled Life Goes On,2019-07-19,0,2019-07-17,,TINY: The Life of Erin Blackwell
12,A.O. SCOTT,"‘David Crosby: Remember My Name’ Review: Highs, Lows and Hanging On",2019-07-19,0,2019-07-17,R,David Crosby: Remember My Name
13,GLENN KENNY,‘At War’ Review: French Factory Workers Fight Back,2019-07-19,0,2019-07-16,,At War
14,JEANNETTE CATSOULIS,"‘Crawl’ Review: See You Later, Alligator",2019-07-12,0,2019-07-12,R,Crawl
15,GLENN KENNY,‘Sword of Trust’ Review: Marc Maron in a Comedy About Civil War Truthers,2019-07-19,1,2019-07-11,R,Sword of Trust
16,JEANNETTE CATSOULIS,"‘Firecrackers’ Review: Young, Angry and Trapped",,1,2019-07-11,,Firecrackers
17,BEN KENIGSBERG,‘Sea of Shadows’ Review: A Suspenseful Story of Saving Porpoises,2019-07-12,1,2019-07-11,PG-13,Sea of Shadows
18,BEN KENIGSBERG,‘Cities of Last Things’ Review: A History of One Man’s Violence,2019-07-11,0,2019-07-11,,Cities of Last Things
19,A.O. SCOTT,"Review: In ‘The Farewell,’ a Wedding Is Really a Premature Funeral",2019-07-12,0,2019-07-11,PG,The Farewell
20,A.O. SCOTT,‘The Lion King’ Review: The Art of Herding Digital Cats,2019-07-19,0,2019-07-11,PG,The Lion King
21,MANOHLA DARGIS,‘Rojo’ Review: Who Is Guilty When Dictatorship Creeps In?,2019-07-12,0,2019-07-11,,Rojo
22,BILGE EBIRI,‘General Magic’ Review: A Startup Before Its Time,2019-07-12,0,2019-07-11,,General Magic
23,GLENN KENNY,‘The Sweet Requiem’ Review: Tibetan Activists Confront a Shared Tragic Past,2019-07-12,0,2019-07-11,,The Sweet Requiem
24,BEN KENIGSBERG,‘Summer Night’ Review: An Improbable Evening of Formative Experiences,2019-07-12,0,2019-07-11,,Summer Night
25,BEN KENIGSBERG,‘American Heretics’ Review: Challenging Religious Orthodoxies in Oklahoma,2019-07-12,0,2019-07-11,,American Heretics: The Politics of the Gospel
26,A.O. SCOTT,‘The Art of Self-Defense’ Review: Karate Empowers a Dweeb,2019-07-12,0,2019-07-10,R,The Art of Self-Defense
27,MANOHLA DARGIS,‘Stuber’ Review: There’s an App for That (Riding With the Law),2019-07-12,0,2019-07-10,R,Stuber
28,GLENN KENNY,‘Ray & Liz’ Review: Alcoholic Misery in England’s Black Country,2019-07-10,0,2019-07-09,,Ray & Liz
29,GLENN KENNY,‘Marianne & Leonard’ Review: An Emotionally Complex Story of a Poet and His Muse,2019-07-05,1,2019-07-04,R,Marianne & Leonard: Words of Love
30,SEAN T. COLLINS,"‘Beats’ Review: In Chicago, the Song Remains the Same",2019-06-19,0,2019-07-04,,Beats
31,BILGE EBIRI,‘The Cat Rescuers’ Review: A Portrait of New York’s Street Cats and Their Loyal Humans,2019-07-05,0,2019-07-04,,The Cat Rescuers
32,BEN KENIGSBERG,Sundance Short Film Festival Review: Bite-Size Samplings From Park City,,0,2019-07-04,,2019 Sundance Film Festival Short Film Tour
33,BEN KENIGSBERG,‘Phil’ Review: A Messy Story About a Suicidal Dentist,2019-07-05,0,2019-07-04,R,Phil
34,JEANNETTE CATSOULIS,‘Cold Blood’ Review: The Hit Man and the Hottie,2019-07-05,0,2019-07-04,,Cold Blood
35,MANOHLA DARGIS,‘Midsommar’ Review: The Horror of Bad Relationships and Worse Vacations,2019-07-03,0,2019-07-02,R,Midsommar
36,KAREN HAN,‘The Buffalo Hunt’ Review: The Sacred Ties That Bind,2019-06-21,0,2019-06-28,,The Buffalo Hunt
37,GLENN KENNY,‘The Plagiarists’ Review: A Sharp Satire Built on Social Discomfort,2019-06-28,1,2019-06-27,,The Plagiarists
38,MANOHLA DARGIS,‘Ophelia’ Review: Out of the Shadows (and Into the Weeds),2019-06-28,0,2019-06-27,PG-13,Ophelia
39,A.O. SCOTT,Review: ‘Spider-Man: Far From Home’ Is the Latest Iron Man Movie,2019-07-02,0,2019-06-27,PG-13,Spider-Man: Far from Home
40,BEN KENIGSBERG,‘Three Peaks’ Review: On Vacation With Mom’s Boyfriend,2019-06-28,0,2019-06-27,,Three Peaks
41,BEN KENIGSBERG,‘The Other Story’ Review: Thwarting a Marriage to Save the Family,2019-06-28,0,2019-06-27,,The Other Story
42,GLENN KENNY,"‘Mine 9’ Review: A Tense Disaster Drama, Undermined by Clichés",,0,2019-06-27,Not Rated,Mine 9
43,JEANNETTE CATSOULIS,‘Euphoria’ Review: Death Wishes,2019-06-28,0,2019-06-27,R,Euphoria
44,JEANNETTE CATSOULIS,‘Killers Anonymous’ Review: 12 Steps to Disaster,2019-06-28,0,2019-06-27,R,Killers Anonymous
45,A.O. SCOTT,"‘Yesterday’ Review: I Saw a Film Today, Oh Boy",2019-06-28,0,2019-06-26,PG-13,Yesterday
