,critic
0,A. O. Scott
1,Manohla Dargis
2,Stephen Holden
3,Renata Adler
4,Mordaunt Hall
5,Thomas M. Pryor
6,Eugene Archer
7,Donal J. Henahan
8,Nora Sayre
9,D. J. R. Bruckner
10,Caryn James
11,Harold C. Schonberg
12,Tom Buckley
13,Stanley Kauffman
14,Andre Sennwald
15,Vincent Canby
16,Dave Kehr
17,Dana Stevens
18,B. R. Crisler
19,Hilton Kramer
20,Michael Stern
21,Bosley Crowther
22,Ned Martel
23,Theodore Strauss
24,Richard Eder
25,Janet Maslin
26,Howard Thompson
27,Anita Gates
28,John T. McManus
29,Lawrence Van Gelder
30,Walter Goodman
31,Elvis Mitchell
32,A. H. Weiler
33,Roger Greenspun
34,Frank S. Nugent
35,Matt Zoller Seitz
36,Neil Genzlinger
37,Andy Webster
38,Jeannette Catsoulis
39,Nathan Lee
40,Kevin Cahillane
41,Laura Kern
42,Anna Kisselgoff
43,C. Hooper Trask
44,Ernest Marshall
45,Herbert L. Matthews
46,Herbert Mitgang
47,Jennifer Dunning
48,John Corry
49,Jon Pareles
50,Nina Darnton
51,Patricia S. McCormick
52,Peter M. Nichols
53,Richard Bernstein
54,Richard F. Shepard
55,Richard W. Nason
56,Robert Alden
57,Charles Morgan
58,Dan Sullivan
59,Harry Gilroy
60,Julie Salamon
61,Morris Gilbert
62,W. L. Middleton
63,Harry T. Smith
64,David DeWitt
65,Ben Brantley
66,Carina Chocano
67,Daniel M. Gold
68,Felicity Barringer
69,Holcomb B. Noble
70,Jack Gould
71,Mike Hale
72,Paul Brunick
73,Peter Kihss
74,Rachel Saltz
75,Suzanne O'Connor
76,Victor Navasky
77,Wayne King
78,Nicolas Rapold
79,Miriam Bale
80,Nicole Herrington
81,Ben Kenigsberg
