,unique_values,counts,gender
0,A. O. SCOTT,1141,male
1,JEANNETTE CATSOULIS,1063,female
2,MANOHLA DARGIS,927,female
3,STEPHEN HOLDEN,870,male
4,NEIL GENZLINGER,499,male
5,BEN KENIGSBERG,478,male
6,GLENN KENNY,435,male
7,ANDY WEBSTER,366,male
8,NICOLAS RAPOLD,344,male
9,KEN JAWOROWSKI,160,male
10,RACHEL SALTZ,154,female
11,MIKE HALE,151,male
12,DANIEL M. GOLD,127,male
13,TEO BUGBEE,65,female
14,MIRIAM BALE,54,female
15,DAVID DeWITT,54,male
16,HELEN T. VERONGOS,47,female
17,ANITA GATES,39,female
18,NICOLE HERRINGTON,33,female
19,NATHAN LEE,32,male
20,BILGE EBIRI,28,male
21,MONICA CASTILLO,20,female
22,PAUL BRUNICK,17,male
23,WESLEY MORRIS,15,male
24,JASON ZINOMAN,13,male
25,JON CARAMANICA,11,male
26,AISHA HARRIS,10,female
27,SCOTT TOBIAS,4,male
28,KAREN HAN,4,female
29,JENNIFER SZALAI,4,female
30,JASON BAILEY,4,male
31,ELISABETH VINCENTELLI,4,female
32,LAURA KERN,3,female
33,MATT ZOLLER SEITZ,2,male
34,CARINA CHOCANO,2,female
35,JANET MASLIN,2,female
36,CANDICE FREDERICK,2,female
37,BRIAN SEIBERT,2,male
38,GIA KOURLAS,2,female
39,SEAN T. COLLINS,2,male
40,JOHN WILLIAMS,1,male
41,GENE SEYMOUR,1,male
42,ELLA TAYLOR,1,female
44,ROBERTA SMITH,1,female
45,KYLE TURNER,1,male
46,MARTIN TSAI,1,male
47,JOHN ANDERSON,1,male
48,GEOFFREY O’BRIEN,1,male
49,MICHAEL KINSLEY,1,male
50,CHRIS VOGNAR,1,male
