,critic,counts
0,STEPHEN HOLDEN,1744
1,A. O. SCOTT,1700
2,JEANNETTE CATSOULIS,1372
3,MANOHLA DARGIS,1246
4,NEIL GENZLINGER,556
5,BEN KENIGSBERG,478
6,ELVIS MITCHELL,442
7,GLENN KENNY,435
8,ANDY WEBSTER,386
9,NICOLAS RAPOLD,344
10,DAVE KEHR,265
11,A.O. SCOTT,216
12,RACHEL SALTZ,177
13,NATHAN LEE,166
14,KEN JAWOROWSKI,160
15,MIKE HALE,151
16,MATT ZOLLER SEITZ,145
17,DANIEL M. GOLD,127
18,TEO BUGBEE,65
19,LAWRENCE VAN GELDER,61
20,LAURA KERN,59
21,ANITA GATES,58
22,DAVID DEWITT,54
23,MIRIAM BALE,54
24,HELEN T. VERONGOS,47
25,NICOLE HERRINGTON,33
26,BILGE EBIRI,28
27,BY A.&#160;O. SCOTT,27
28,MONICA CASTILLO,20
29,PAUL BRUNICK,17
30,BY A.O. SCOTT,15
31,WESLEY MORRIS,15
32,BY A.&NBSP;O. SCOTT,14
33,JASON ZINOMAN,13
34,JON CARAMANICA,11
35,AISHA HARRIS,10
36,A.&#160;O. SCOTT,9
37,JANET MASLIN,5
38,BY MANOHLA DARGIS,5
39,ELISABETH VINCENTELLI,4
40,MATT  ZOLLER  SEITZ,4
41,SCOTT TOBIAS,4
42,JENNIFER SZALAI,4
43,JASON BAILEY,4
44,BY A. O. SCOTT,4
45,KAREN HAN,4
46,CARINA CHOCANO,2
47,CANDICE FREDERICK,2
48,BY JEANETTE CATSOULIS,2
49,DANA STEVENS,2
50,GIA KOURLAS,2
51,SEAN T. COLLINS,2
52,BRIAN SEIBERT,2
53,BY DANA STEVENS,1
54,BY A. O .SCOTT,1
55,MARTIN TSAI,1
56,CHRIS VOGNAR,1
57,BY JEANNETTE CATSOULIS NATHAN LEE,1
58,BY . A. O. SCOTT,1
59,JOHN ANDERSON,1
60,BY JEANNETTE CATSOULIS NATHAN LEE  NEIL GENZLINGER   LAURA KERN,1
61,ELLA TAYLOR,1
62,NED MARTEL,1
63,JOHN WILLIAMS,1
64,MATT ZOLLER  SEITZ,1
65,AS TOLD TO MANOHLA DARGIS BY LORD DARGIS,1
66,PHILLIP LOPATE,1
67,LAURA  KERN,1
68,BY ANITA GATES,1
69,GEOFFREY O’BRIEN,1
70,MICHAEL KINSLEY,1
71,GENE SEYMOUR,1
72,RON WERTHEIMER,1
73,JULIE SALAMON,1
74,MATT  ZOLLER SEITZ,1
75,MANOHLA  DARGIS,1
76,ROBERTA SMITH,1
77,THE NEW YORK TIMES,1
78,LAWRNENCE VAN GELDER,1
79,STEPHEN   HOLDEN,1
80,KYLE TURNER,1
