,byline,pick_or_not
0,A. O. SCOTT,540
3,AISHA HARRIS,1
4,ANDY WEBSTER,71
5,ANITA GATES,2
6,BEN KENIGSBERG,47
7,BILGE EBIRI,13
8,BRIAN SEIBERT,1
14,CARINA CHOCANO,1
15,DANIEL M. GOLD,18
16,DAVE KEHR,4
17,DAVID DEWITT,8
18,ELVIS MITCHELL,62
19,GENE SEYMOUR,1
20,GEOFFREY O’BRIEN,1
21,GIA KOURLAS,1
22,GLENN KENNY,169
23,HELEN T. VERONGOS,11
24,JANET MASLIN,2
25,JASON ZINOMAN,3
26,JEANNETTE CATSOULIS,364
27,JENNIFER SZALAI,1
28,JON CARAMANICA,1
29,KEN JAWOROWSKI,13
30,LAURA KERN,4
32,MANOHLA DARGIS,352
33,MATT ZOLLER SEITZ,29
34,MIKE HALE,4
35,MIRIAM BALE,8
36,MONICA CASTILLO,3
37,NATHAN LEE,17
38,NEIL GENZLINGER,90
39,NICOLAS RAPOLD,15
40,NICOLE HERRINGTON,6
41,PAUL BRUNICK,3
42,RACHEL SALTZ,10
43,STEPHEN HOLDEN,445
44,TEO BUGBEE,10
45,WESLEY MORRIS,4
