,title,rating,pick_or_not,byline,headline,pub_date,open_date
0,Once Upon a Time ... in Hollywood,R,1,A.O. SCOTT,‘Once Upon a Time … in Hollywood’ Review: We Lost It at the Movies,2019-07-24,2019-07-26
1,Angels Are Made of Light,,1,BILGE EBIRI,‘Angels Are Made of Light’ Review: Despair Meets Hope in Kabul,2019-07-23,2019-07-24
2,The Great Hack,,1,BEN KENIGSBERG,‘The Great Hack’ Review: How Your Data Became a Commodity,2019-07-23,2019-07-24
3,Rosie,PG-13,1,JEANNETTE CATSOULIS,‘Rosie’ Review: Lean Streets,2019-07-18,2019-07-19
4,A Faithful Man,,1,BEN KENIGSBERG,‘A Faithful Man’ Review: Low Key. Low Fidelity.,2019-07-18,2019-07-19
5,Point Blank,,0,ELISABETH VINCENTELLI,‘Point Blank’ Review: A Buddy Flick That Hobbles Along,2019-07-18,2019-07-12
6,"Cassandro, the Exotico!",,0,GLENN KENNY,‘Cassandro the Exotico!’  Review: A Gay Luchador Body Slams Life,2019-07-18,2019-07-19
7,Bottom of the 9th,R,0,TEO BUGBEE,‘Bottom of the 9th’ Review: A Stroll Around the Baseball Diamond,2019-07-18,2019-07-19
8,I Do Not Care If We Go Down in History as Barbarians,,0,A.O. SCOTT,Review: Making a Spectacle of History (and Herself),2019-07-18,2019-07-19
9,She's Just a Shadow,,0,JEANNETTE CATSOULIS,‘She’s Just a Shadow’ Review: Tokyo Grift,2019-07-18,
10,Luz,,0,JEANNETTE CATSOULIS,‘Luz’ Review: Crazed and Confused,2019-07-18,2019-07-19
11,TINY: The Life of Erin Blackwell,,0,BEN KENIGSBERG,‘Tiny: The Life of Erin Blackwell’ Review: A Troubled Life Goes On,2019-07-17,2019-07-19
12,David Crosby: Remember My Name,R,0,A.O. SCOTT,"‘David Crosby: Remember My Name’ Review: Highs, Lows and Hanging On",2019-07-17,2019-07-19
13,At War,,0,GLENN KENNY,‘At War’ Review: French Factory Workers Fight Back,2019-07-16,2019-07-19
14,Crawl,R,0,JEANNETTE CATSOULIS,"‘Crawl’ Review: See You Later, Alligator",2019-07-12,2019-07-12
15,Sword of Trust,R,1,GLENN KENNY,‘Sword of Trust’ Review: Marc Maron in a Comedy About Civil War Truthers,2019-07-11,2019-07-19
16,Firecrackers,,1,JEANNETTE CATSOULIS,"‘Firecrackers’ Review: Young, Angry and Trapped",2019-07-11,
17,Sea of Shadows,PG-13,1,BEN KENIGSBERG,‘Sea of Shadows’ Review: A Suspenseful Story of Saving Porpoises,2019-07-11,2019-07-12
18,Cities of Last Things,,0,BEN KENIGSBERG,‘Cities of Last Things’ Review: A History of One Man’s Violence,2019-07-11,2019-07-11
19,The Farewell,PG,0,A.O. SCOTT,"Review: In ‘The Farewell,’ a Wedding Is Really a Premature Funeral",2019-07-11,2019-07-12
20,The Lion King,PG,0,A.O. SCOTT,‘The Lion King’ Review: The Art of Herding Digital Cats,2019-07-11,2019-07-19
21,Rojo,,0,MANOHLA DARGIS,‘Rojo’ Review: Who Is Guilty When Dictatorship Creeps In?,2019-07-11,2019-07-12
22,General Magic,,0,BILGE EBIRI,‘General Magic’ Review: A Startup Before Its Time,2019-07-11,2019-07-12
23,The Sweet Requiem,,0,GLENN KENNY,‘The Sweet Requiem’ Review: Tibetan Activists Confront a Shared Tragic Past,2019-07-11,2019-07-12
24,Summer Night,,0,BEN KENIGSBERG,‘Summer Night’ Review: An Improbable Evening of Formative Experiences,2019-07-11,2019-07-12
25,American Heretics: The Politics of the Gospel,,0,BEN KENIGSBERG,‘American Heretics’ Review: Challenging Religious Orthodoxies in Oklahoma,2019-07-11,2019-07-12
26,The Art of Self-Defense,R,0,A.O. SCOTT,‘The Art of Self-Defense’ Review: Karate Empowers a Dweeb,2019-07-10,2019-07-12
27,Stuber,R,0,MANOHLA DARGIS,‘Stuber’ Review: There’s an App for That (Riding With the Law),2019-07-10,2019-07-12
28,Ray & Liz,,0,GLENN KENNY,‘Ray & Liz’ Review: Alcoholic Misery in England’s Black Country,2019-07-09,2019-07-10
29,Marianne & Leonard: Words of Love,R,1,GLENN KENNY,‘Marianne & Leonard’ Review: An Emotionally Complex Story of a Poet and His Muse,2019-07-04,2019-07-05
30,Beats,,0,SEAN T. COLLINS,"‘Beats’ Review: In Chicago, the Song Remains the Same",2019-07-04,2019-06-19
31,The Cat Rescuers,,0,BILGE EBIRI,‘The Cat Rescuers’ Review: A Portrait of New York’s Street Cats and Their Loyal Humans,2019-07-04,2019-07-05
32,2019 Sundance Film Festival Short Film Tour,,0,BEN KENIGSBERG,Sundance Short Film Festival Review: Bite-Size Samplings From Park City,2019-07-04,
33,Phil,R,0,BEN KENIGSBERG,‘Phil’ Review: A Messy Story About a Suicidal Dentist,2019-07-04,2019-07-05
34,Cold Blood,,0,JEANNETTE CATSOULIS,‘Cold Blood’ Review: The Hit Man and the Hottie,2019-07-04,2019-07-05
35,Midsommar,R,0,MANOHLA DARGIS,‘Midsommar’ Review: The Horror of Bad Relationships and Worse Vacations,2019-07-02,2019-07-03
36,The Buffalo Hunt,,0,KAREN HAN,‘The Buffalo Hunt’ Review: The Sacred Ties That Bind,2019-06-28,2019-06-21
37,The Plagiarists,,1,GLENN KENNY,‘The Plagiarists’ Review: A Sharp Satire Built on Social Discomfort,2019-06-27,2019-06-28
38,Ophelia,PG-13,0,MANOHLA DARGIS,‘Ophelia’ Review: Out of the Shadows (and Into the Weeds),2019-06-27,2019-06-28
39,Spider-Man: Far from Home,PG-13,0,A.O. SCOTT,Review: ‘Spider-Man: Far From Home’ Is the Latest Iron Man Movie,2019-06-27,2019-07-02
40,Three Peaks,,0,BEN KENIGSBERG,‘Three Peaks’ Review: On Vacation With Mom’s Boyfriend,2019-06-27,2019-06-28
41,The Other Story,,0,BEN KENIGSBERG,‘The Other Story’ Review: Thwarting a Marriage to Save the Family,2019-06-27,2019-06-28
42,Mine 9,Not Rated,0,GLENN KENNY,"‘Mine 9’ Review: A Tense Disaster Drama, Undermined by Clichés",2019-06-27,
43,Euphoria,R,0,JEANNETTE CATSOULIS,‘Euphoria’ Review: Death Wishes,2019-06-27,2019-06-28
44,Killers Anonymous,R,0,JEANNETTE CATSOULIS,‘Killers Anonymous’ Review: 12 Steps to Disaster,2019-06-27,2019-06-28
45,Yesterday,PG-13,0,A.O. SCOTT,"‘Yesterday’ Review: I Saw a Film Today, Oh Boy",2019-06-26,2019-06-28
46,Maiden,PG,0,MANOHLA DARGIS,‘Maiden’ Review: Racing Toward Equality,2019-06-26,2019-06-28
47,The Chambermaid,,1,A.O. SCOTT,"‘The Chambermaid’ Review: Amid Luxury, an Entrancing Drudgery",2019-06-25,2019-06-26
48,Annabelle Comes Home,R,0,JEANNETTE CATSOULIS,‘Annabelle Comes Home’ Review: An Evil Doll Returns and She’s Not Alone,2019-06-24,2019-06-26
49,Anna,R,0,BILGE EBIRI,‘Anna’ Review: a Curiously Familiar Female Assassin,2019-06-21,2019-06-21
50,Starfish,,0,JASON BAILEY,‘Starfish’ Review: A Sci-Fi Mystery Shrouded in Grief,2019-06-20,2019-03-15
51,Endzeit,,0,MANOHLA DARGIS,‘Endzeit’ Review: Once Upon a Zombie Apocalypse,2019-06-20,2019-06-21
52,Child's Play,R,0,BEN KENIGSBERG,‘Child’s Play’ Review: A Robot Chucky Goes Rogue in a Soulless Remake,2019-06-20,2019-06-21
53,Toy Story 4,G,0,MANOHLA DARGIS,‘Toy Story 4’ Review: Playtime’s Over,2019-06-20,2019-06-21
