,title,rating,pick_or_not,byline,headline,pub_date,open_date
0,Our City Dreams,,0,JEANNETTE CATSOULIS,5 Artists Inspired and Shaped by a Place,2009-02-03,
1,Medicine for Melancholy,,1,A. O. SCOTT,A Short-Term Affair Leads to Big Questions,2009-01-29,
2,Serbis,R,1,MANOHLA DARGIS,A Fractured Family in a Crumbling World,2009-01-29,
3,Shadows,,0,STEPHEN HOLDEN,"Haunted in Macedonia, With a Wolf at the Door",2009-01-29,
4,The Uninvited,PG-13,0,A. O. SCOTT,"Two Bickering Sisters, a Stepmom and an Ominous Garbage Can",2009-01-29,2009-01-30
5,New in Town,PG,0,STEPHEN HOLDEN,Tales of a Spike-Heeled Dialoguer in a Land of Okey-Dokeys,2009-01-29,2009-01-30
6,Taken,Not Rated,0,MANOHLA DARGIS,‘Taken’ Review: Vigilante Daddy Avenges Kidnapping,2009-01-29,2009-01-30
7,Between Love & Goodbye,Not Rated,0,NATHAN LEE,Ill-Fated Romance,2009-01-29,2009-01-30
8,The Toe Tactic,,0,JEANNETTE CATSOULIS,Grief Leads to a Journey in a World of Whimsy,2009-01-27,2009-01-28
9,Blessed Is the Match: The Life and Death of Hannah Senesh,,0,JEANNETTE CATSOULIS,War Hero and Martyr in the Prime of Her Life,2009-01-27,2009-01-28
10,California Dreamin',,1,A. O. SCOTT,The Americans Arrive and Cultures Collide,2009-01-23,2009-01-23
11,Underworld: Rise of the Lycans,R,0,MANOHLA DARGIS,Clash of the Monsters: The Origins of a Feud,2009-01-23,2009-01-23
12,Donkey Punch,R,0,STEPHEN HOLDEN,"Passion and Pain at Sea, With Fatal Consequences",2009-01-22,
13,The Lodger,R,0,JEANNETTE CATSOULIS,That Guest? He Might Be a Lady Killer,2009-01-22,
14,Inkheart,PG,0,A. O. SCOTT,"Novel’s Characters Leap From the Page, Literally",2009-01-22,2009-01-23
15,Crips and Bloods: Made in America,,0,MANOHLA DARGIS,Looking for the Origins of the Gangs of Los Angeles,2009-01-22,
16,Of Time and the City,,1,A. O. SCOTT,"Looking Back, With Affection and Angst",2009-01-20,
17,The Photograph,,0,JEANNETTE CATSOULIS,Pictures More Influential Than Words,2009-01-20,2009-01-21
18,Dealing and Wheeling in Small Arms,,0,STEPHEN HOLDEN,Where Guns Fall From the Sky,2009-01-20,2009-01-21
