,byline,headline,open_date,pick_or_not,pub_date,rating,title,RT
0,A.O. SCOTT,‘Once Upon a Time … in Hollywood’ Review: We Lost It at the Movies,2019-07-26,1,2019-07-24,R,Once Upon a Time ... in Hollywood,once_upon_a_time_in_hollywood
1,BILGE EBIRI,‘Angels Are Made of Light’ Review: Despair Meets Hope in Kabul,2019-07-24,1,2019-07-23,,Angels Are Made of Light,angels_are_made_of_light
2,BEN KENIGSBERG,‘The Great Hack’ Review: How Your Data Became a Commodity,2019-07-24,1,2019-07-23,,The Great Hack,the_great_hack
3,JEANNETTE CATSOULIS,‘Rosie’ Review: Lean Streets,2019-07-19,1,2019-07-18,PG-13,Rosie,rosie
4,BEN KENIGSBERG,‘A Faithful Man’ Review: Low Key. Low Fidelity.,2019-07-19,1,2019-07-18,,A Faithful Man,a_faithful_man
5,ELISABETH VINCENTELLI,‘Point Blank’ Review: A Buddy Flick That Hobbles Along,2019-07-12,0,2019-07-18,,Point Blank,point_blank
6,GLENN KENNY,‘Cassandro the Exotico!’  Review: A Gay Luchador Body Slams Life,2019-07-19,0,2019-07-18,,"Cassandro, the Exotico!",cassandro_the_exotico
7,TEO BUGBEE,‘Bottom of the 9th’ Review: A Stroll Around the Baseball Diamond,2019-07-19,0,2019-07-18,R,Bottom of the 9th,bottom_of_the_9th
8,A.O. SCOTT,Review: Making a Spectacle of History (and Herself),2019-07-19,0,2019-07-18,,I Do Not Care If We Go Down in History as Barbarians,i_do_not_care_if_we_go_down_in_history_as_barbarians
9,JEANNETTE CATSOULIS,‘She’s Just a Shadow’ Review: Tokyo Grift,,0,2019-07-18,,She's Just a Shadow,shes_just_a_shadow
10,JEANNETTE CATSOULIS,‘Luz’ Review: Crazed and Confused,2019-07-19,0,2019-07-18,,Luz,luz
11,BEN KENIGSBERG,‘Tiny: The Life of Erin Blackwell’ Review: A Troubled Life Goes On,2019-07-19,0,2019-07-17,,TINY: The Life of Erin Blackwell,tiny_the_life_of_erin_blackwell
12,A.O. SCOTT,"‘David Crosby: Remember My Name’ Review: Highs, Lows and Hanging On",2019-07-19,0,2019-07-17,R,David Crosby: Remember My Name,david_crosby_remember_my_name
13,GLENN KENNY,‘At War’ Review: French Factory Workers Fight Back,2019-07-19,0,2019-07-16,,At War,at_war
14,JEANNETTE CATSOULIS,"‘Crawl’ Review: See You Later, Alligator",2019-07-12,0,2019-07-12,R,Crawl,crawl
15,GLENN KENNY,‘Sword of Trust’ Review: Marc Maron in a Comedy About Civil War Truthers,2019-07-19,1,2019-07-11,R,Sword of Trust,sword_of_trust
16,JEANNETTE CATSOULIS,"‘Firecrackers’ Review: Young, Angry and Trapped",,1,2019-07-11,,Firecrackers,firecrackers
17,BEN KENIGSBERG,‘Sea of Shadows’ Review: A Suspenseful Story of Saving Porpoises,2019-07-12,1,2019-07-11,PG-13,Sea of Shadows,sea_of_shadows
18,BEN KENIGSBERG,‘Cities of Last Things’ Review: A History of One Man’s Violence,2019-07-11,0,2019-07-11,,Cities of Last Things,cities_of_last_things
19,A.O. SCOTT,"Review: In ‘The Farewell,’ a Wedding Is Really a Premature Funeral",2019-07-12,0,2019-07-11,PG,The Farewell,the_farewell
20,A.O. SCOTT,‘The Lion King’ Review: The Art of Herding Digital Cats,2019-07-19,0,2019-07-11,PG,The Lion King,the_lion_king
21,MANOHLA DARGIS,‘Rojo’ Review: Who Is Guilty When Dictatorship Creeps In?,2019-07-12,0,2019-07-11,,Rojo,rojo
22,BILGE EBIRI,‘General Magic’ Review: A Startup Before Its Time,2019-07-12,0,2019-07-11,,General Magic,general_magic
23,GLENN KENNY,‘The Sweet Requiem’ Review: Tibetan Activists Confront a Shared Tragic Past,2019-07-12,0,2019-07-11,,The Sweet Requiem,the_sweet_requiem
24,BEN KENIGSBERG,‘Summer Night’ Review: An Improbable Evening of Formative Experiences,2019-07-12,0,2019-07-11,,Summer Night,summer_night
25,BEN KENIGSBERG,‘American Heretics’ Review: Challenging Religious Orthodoxies in Oklahoma,2019-07-12,0,2019-07-11,,American Heretics: The Politics of the Gospel,american_heretics_the_politics_of_the_gospel
26,A.O. SCOTT,‘The Art of Self-Defense’ Review: Karate Empowers a Dweeb,2019-07-12,0,2019-07-10,R,The Art of Self-Defense,the_art_of_self-defense
27,MANOHLA DARGIS,‘Stuber’ Review: There’s an App for That (Riding With the Law),2019-07-12,0,2019-07-10,R,Stuber,stuber
28,GLENN KENNY,‘Ray & Liz’ Review: Alcoholic Misery in England’s Black Country,2019-07-10,0,2019-07-09,,Ray & Liz,ray_and_liz
29,GLENN KENNY,‘Marianne & Leonard’ Review: An Emotionally Complex Story of a Poet and His Muse,2019-07-05,1,2019-07-04,R,Marianne & Leonard: Words of Love,marianne_and_leonard_words_of_love
30,SEAN T. COLLINS,"‘Beats’ Review: In Chicago, the Song Remains the Same",2019-06-19,0,2019-07-04,,Beats,beats
31,BILGE EBIRI,‘The Cat Rescuers’ Review: A Portrait of New York’s Street Cats and Their Loyal Humans,2019-07-05,0,2019-07-04,,The Cat Rescuers,the_cat_rescuers
32,BEN KENIGSBERG,Sundance Short Film Festival Review: Bite-Size Samplings From Park City,,0,2019-07-04,,2019 Sundance Film Festival Short Film Tour,2019_sundance_film_festival_short_film_tour
33,BEN KENIGSBERG,‘Phil’ Review: A Messy Story About a Suicidal Dentist,2019-07-05,0,2019-07-04,R,Phil,phil
34,JEANNETTE CATSOULIS,‘Cold Blood’ Review: The Hit Man and the Hottie,2019-07-05,0,2019-07-04,,Cold Blood,cold_blood
35,MANOHLA DARGIS,‘Midsommar’ Review: The Horror of Bad Relationships and Worse Vacations,2019-07-03,0,2019-07-02,R,Midsommar,midsommar
36,KAREN HAN,‘The Buffalo Hunt’ Review: The Sacred Ties That Bind,2019-06-21,0,2019-06-28,,The Buffalo Hunt,the_buffalo_hunt
37,GLENN KENNY,‘The Plagiarists’ Review: A Sharp Satire Built on Social Discomfort,2019-06-28,1,2019-06-27,,The Plagiarists,the_plagiarists
38,MANOHLA DARGIS,‘Ophelia’ Review: Out of the Shadows (and Into the Weeds),2019-06-28,0,2019-06-27,PG-13,Ophelia,ophelia
39,A.O. SCOTT,Review: ‘Spider-Man: Far From Home’ Is the Latest Iron Man Movie,2019-07-02,0,2019-06-27,PG-13,Spider-Man: Far from Home,spider-man_far_from_home
40,BEN KENIGSBERG,‘Three Peaks’ Review: On Vacation With Mom’s Boyfriend,2019-06-28,0,2019-06-27,,Three Peaks,three_peaks
41,BEN KENIGSBERG,‘The Other Story’ Review: Thwarting a Marriage to Save the Family,2019-06-28,0,2019-06-27,,The Other Story,the_other_story
42,GLENN KENNY,"‘Mine 9’ Review: A Tense Disaster Drama, Undermined by Clichés",,0,2019-06-27,Not Rated,Mine 9,mine_9
43,JEANNETTE CATSOULIS,‘Euphoria’ Review: Death Wishes,2019-06-28,0,2019-06-27,R,Euphoria,euphoria
44,JEANNETTE CATSOULIS,‘Killers Anonymous’ Review: 12 Steps to Disaster,2019-06-28,0,2019-06-27,R,Killers Anonymous,killers_anonymous
45,A.O. SCOTT,"‘Yesterday’ Review: I Saw a Film Today, Oh Boy",2019-06-28,0,2019-06-26,PG-13,Yesterday,yesterday
46,MANOHLA DARGIS,‘Maiden’ Review: Racing Toward Equality,2019-06-28,0,2019-06-26,PG,Maiden,maiden
47,A.O. SCOTT,"‘The Chambermaid’ Review: Amid Luxury, an Entrancing Drudgery",2019-06-26,1,2019-06-25,,The Chambermaid,the_chambermaid
48,JEANNETTE CATSOULIS,‘Annabelle Comes Home’ Review: An Evil Doll Returns and She’s Not Alone,2019-06-26,0,2019-06-24,R,Annabelle Comes Home,annabelle_comes_home
49,BILGE EBIRI,‘Anna’ Review: a Curiously Familiar Female Assassin,2019-06-21,0,2019-06-21,R,Anna,anna
50,JASON BAILEY,‘Starfish’ Review: A Sci-Fi Mystery Shrouded in Grief,2019-03-15,0,2019-06-20,,Starfish,starfish
51,MANOHLA DARGIS,‘Endzeit’ Review: Once Upon a Zombie Apocalypse,2019-06-21,0,2019-06-20,,Endzeit,endzeit
52,BEN KENIGSBERG,‘Child’s Play’ Review: A Robot Chucky Goes Rogue in a Soulless Remake,2019-06-21,0,2019-06-20,R,Child's Play,childs_play
53,MANOHLA DARGIS,‘Toy Story 4’ Review: Playtime’s Over,2019-06-21,0,2019-06-20,G,Toy Story 4,toy_story_4
54,GLENN KENNY,"‘The Quiet One’ Review: Bill Wyman Opens His Archives, and His Mouth",2019-06-21,0,2019-06-20,,The Quiet One,the_quiet_one
55,TEO BUGBEE,‘Burn Your Maps’ Review: The Mongolian Steppes as a Stage for Grief,0000-00-00,0,2019-06-20,PG-13,Burn Your Maps,burn_your_maps
56,BEN KENIGSBERG,"‘The Extraordinary Journey of the Fakir’ Review: A Bustling, Whimsical Voyage",2019-06-20,0,2019-06-20,PG-13,The Extraordinary Journey of the Fakir,the_extraordinary_journey_of_the_fakir
57,BEN KENIGSBERG,‘Wild Rose’ Review: A Glaswegian Singer Walks the Line,2019-06-21,0,2019-06-20,R,Wild Rose,wild_rose
58,BILGE EBIRI,‘The Command’ Review: A Real-Life Submarine Tragedy Gets the Big Screen Treatment,2019-06-21,0,2019-06-20,PG-13,The Command,the_command
59,GLENN KENNY,‘Billboard’ Review: An Underdog Story Misses the Mark,2019-04-05,0,2019-06-20,,Billboard,billboard
60,A.O. SCOTT,Review: ‘Toni Morrison: The Pieces I Am’ Basks in the Presence of a Beloved Writer,2019-06-21,0,2019-06-19,PG-13,Toni Morrison: The Pieces I Am,toni_morrison_the_pieces_i_am
61,A.O. SCOTT,Review: ‘Edge of Democracy’ Looks at Brazil With Outrage and Heartbreak,2019-06-19,1,2019-06-18,,Edge of Democracy,edge_of_democracy
62,ELISABETH VINCENTELLI,‘Murder Mystery’ Review: A Whodunit on the High Seas,2019-06-14,0,2019-06-14,PG-13,Murder Mystery,murder_mystery
63,GLENN KENNY,"‘Blue Note Records’ Review: A Smart, Exhilarating Look at an Influential Label",2019-06-14,1,2019-06-13,,Blue Note Records: Beyond the Notes,blue_note_records_beyond_the_notes
64,GLENN KENNY,‘Our Time’ Review: An Enthralling and Exasperating Take on Infidelity,2019-06-14,1,2019-06-13,,Our Time,our_time
65,BILGE EBIRI,‘Hampstead’ Review: A Low-Key and Lively Look at an Unlikely Romance,2019-06-14,1,2019-06-13,PG-13,Hampstead,hampstead
66,A.O. SCOTT,‘The Dead Don’t Die’ Review: Zombies Gobbling Up Scraps of Pop Culture,2019-06-14,0,2019-06-13,R,The Dead Don't Die,the_dead_dont_die
67,A.O. SCOTT,"Review: I’m Talking About ‘Shaft.’ Yes, Again.",2019-06-14,0,2019-06-13,R,Shaft,shaft
68,BEN KENIGSBERG,‘Plus One’ Review: Navigating a Marathon of Nuptials,2019-06-14,0,2019-06-13,Not Rated,Plus One,plus_one
69,BEN KENIGSBERG,"‘In the Aisles’ Review: A Store With Everything, Except Fulfillment",2019-06-14,0,2019-06-13,Not Rated,In the Aisles,in_the_aisles
70,KEN JAWOROWSKI,‘Back to the Fatherland’ Review: Israelis Who Look to Put History Aside,2019-06-14,0,2019-06-13,,Back to the Fatherland,back_to_the_fatherland
71,TEO BUGBEE,‘Being Frank’ Review: An Embarrassment of Daddy Issues,2019-06-14,0,2019-06-13,,Being Frank,being_frank
72,GLENN KENNY,"‘American Woman’ Review: A Considered, and Cautious, Working-Class Character Study",2019-06-14,0,2019-06-13,R,American Woman,american_woman
73,BILGE EBIRI,"‘Daughter of the Wolf’ Review: Snow, Ice, and Dramatic Inertia",2019-08-02,0,2019-06-13,R,Daughter of the Wolf,daughter_of_the_wolf
74,MANOHLA DARGIS,‘Men in Black: International’ Review: A Case of the Blahs,2019-06-14,0,2019-06-12,PG-13,Men in Black: International,men_in_black_international
75,MANOHLA DARGIS,"‘Rolling Thunder’ Review: A New Ballad of Bob, Sung by Marty",2019-06-12,1,2019-06-11,,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,rolling_thunder_revue_a_bob_dylan_story_by_martin_scorsese
76,BEN KENIGSBERG,‘The Reports on Sarah and Saleem’ Review: An Extramarital Affair With Geopolitical Implications,2019-06-12,0,2019-06-11,,The Reports on Sarah and Saleem,the_reports_on_sarah_and_saleem
77,A.O. SCOTT,‘The Raft’ Review: A Crew of 10 Set Adrift With a Moody Svengali,2019-06-07,1,2019-06-06,,The Raft,the_raft
78,MANOHLA DARGIS,‘The Last Black Man in San Francisco’ Review: Lost in a Dream City,2019-06-07,1,2019-06-06,R,The Last Black Man in San Francisco,the_last_black_man_in_san_francisco
79,GLENN KENNY,‘Framing John DeLorean’ Review: The Man Who Flew His Car Too Close to the Sun,2019-06-07,1,2019-06-06,Not Rated,Framing John DeLorean,framing_john_delorean
80,GLENN KENNY,"‘Funan’ Review: An Unflinching, Animated Story of Survival",,1,2019-06-06,,Funan,funan
81,JEANNETTE CATSOULIS,‘Leto’ Review: Love and Rock in Leningrad,2019-06-07,1,2019-06-06,,Leto,leto
82,SCOTT TOBIAS,"‘Alles Ist Gut’ Review: Surviving Sexual Assault, and All the Mornings After",2019-06-06,0,2019-06-06,,Alles Ist Gut,alles_ist_gut
83,MANOHLA DARGIS,‘Dark Phoenix’ Review: X-Women Power? Nah,2019-06-07,0,2019-06-06,PG-13,Dark Phoenix,dark_phoenix
84,RACHEL SALTZ,‘Nureyev’ Review: His Life Was High Drama. This Film Could Use More.,,0,2019-06-06,,Nureyev,nureyev
85,BEN KENIGSBERG,‘This One’s for the Ladies’ Review: Stripping to Pay the Bills,2019-05-01,0,2019-06-06,NC-17,This One's for the Ladies,this_ones_for_the_ladies
86,BEN KENIGSBERG,‘Ghost Fleet’ Review: A Quest to End Slavery at Sea,2019-06-07,0,2019-06-06,,Ghost Fleet,ghost_fleet
87,KEN JAWOROWSKI,‘Pavarotti’ Review: A Charmed Life on the High C’s,2019-06-07,0,2019-06-06,PG-13,Pavarotti,pavarotti
88,TEO BUGBEE,‘Papi Chulo’ Review: Another White Person Goes on a Journey,2019-06-07,0,2019-06-06,R,Papi Chulo,papi_chulo
89,BEN KENIGSBERG,‘The Black Godfather’ Review: The Music Executive Who Made It All Happen,2019-06-07,0,2019-06-06,,The Black Godfather,the_black_godfather
90,KEN JAWOROWSKI,‘16 Shots’ Review: Chicago’s Rage After a Killing by the Police,2019-06-14,0,2019-06-06,,16 Shots,16_shots
91,A.O. SCOTT,‘Late Night’ Review: Emma Thompson Takes On the Old Boys of Network TV,2019-06-07,1,2019-06-05,R,Late Night,late_night
92,BILGE EBIRI,"‘The Secret Life of Pets 2’ Review: Funny, Furry and Forgettable",2019-06-07,0,2019-06-05,PG,The Secret Life of Pets 2,the_secret_life_of_pets_2
93,BEN KENIGSBERG,"‘Joy’ Review: In Austria, a Nigerian Woman Finds a Life Without Hope",2019-05-24,0,2019-05-31,,Joy,joy
94,TEO BUGBEE,‘For the Birds’ Review: From an Overcrowded Chicken Coop Springs Unusual Life,,1,2019-05-30,,For the Birds,for_the_birds
95,GLENN KENNY,‘The Fall of the American Empire’ Review: A Satirical Take on the Crime Story,2019-05-31,1,2019-05-30,R,The Fall of the American Empire,the_fall_of_the_american_empire
96,A.O. SCOTT,"‘Too Late to Die Young’ Review: Big Changes, Quietly Observed",2019-05-31,0,2019-05-30,,Too Late to Die Young,too_late_to_die_young
97,HELEN T. VERONGOS,‘Echo in the Canyon’ Review: Capturing a California Musical Moment,,0,2019-05-30,PG-13,Echo In the Canyon,echo_in_the_canyon
98,TEO BUGBEE,‘Yomeddine’ Review: A Leprosy Survivor’s Journey Under the Desert Sun,2019-05-31,0,2019-05-30,,Yomeddine,yomeddine
99,JEANNETTE CATSOULIS,‘XY Chelsea’ Review: A Whistleblower Out of Focus,,0,2019-05-30,,XY Chelsea,xy_chelsea
100,BEN KENIGSBERG,‘The Image You Missed’ Review: From Son to Father and Filmmaker to Filmmaker,2019-05-31,0,2019-05-30,Not Rated,The Image You Missed,the_image_you_missed
101,KEN JAWOROWSKI,"‘The Spy Behind Home Plate’ Review: Play Ball, Fight Nazis",2019-05-24,0,2019-05-30,Not Rated,The Spy Behind Home Plate,the_spy_behind_home_plate
102,KEN JAWOROWSKI,"‘The Russian Five’ Review: Out of the Iron Curtain, Onto the Ice",,0,2019-05-30,Not Rated,The Russian Five,the_russian_five
103,GLENN KENNY,"‘Domino’ Review: All Voyeurism, All the Time",2019-05-31,0,2019-05-30,R,Domino,domino
104,A.O. SCOTT,"‘Ma’ Review: Octavia Spencer Serves Up Liquor, Terror and a Killer Performance",2019-05-31,0,2019-05-29,R,Ma,ma
105,JEANNETTE CATSOULIS,"‘Always Be My Maybe’ Review: Romance, Food and Fame Through a Sitcom Lens",2019-05-31,0,2019-05-29,PG-13,Always Be My Maybe,always_be_my_maybe
106,A.O. SCOTT,"‘Rocketman’ Review: The Fantastical Tale of Elton John, Survivor, Rock God, Camp Icon",2019-05-31,1,2019-05-28,R,Rocketman,rocketman
107,GLENN KENNY,"Review: In ‘Leaving Home, Coming Home,’ Robert Frank Recounts His Career",,1,2019-05-28,,"Leaving Home, Coming Home: A Portrait of Robert Frank",leaving_home_coming_home_a_portrait_of_robert_frank
108,GLENN KENNY,"‘Godzilla: King of the Monsters’ Review: For Once, the Title Says It All",2019-05-31,0,2019-05-28,PG-13,Godzilla: King of the Monsters,godzilla_king_of_the_monsters
109,JASON BAILEY,‘The Perfection’ Review: A Thriller in the Key of Crazy,2019-05-24,0,2019-05-24,,The Perfection,the_perfection
110,GLENN KENNY,‘Barbara Rubin’ Review: An Overlooked Filmmaker Gets Her Due,2019-05-24,1,2019-05-23,,Barbara Rubin and the Exploding NY Underground,barbara_rubin_and_the_exploding_ny_underground
111,GLENN KENNY,‘Diamantino’ Review: The Fairy Tale Life of a Soccer Star,2019-05-24,1,2019-05-23,,Diamantino,diamantino
112,JEANNETTE CATSOULIS,"‘The Proposal’ Review: The Artist, the Architect and the Other Woman",,1,2019-05-23,,The Proposal,the_proposal
113,GLENN KENNY,‘Woodstock: Three Days That Defined a Generation’ Review: A Return to 1969,,1,2019-05-23,,Woodstock: Three Days That Defined a Generation,woodstock_three_days_that_defined_a_generation
114,WESLEY MORRIS,‘Halston’ Review: The Designer as Unsolved Mystery,2019-05-24,0,2019-05-23,,Halston,halston
115,A.O. SCOTT,‘Brightburn’ Review: What if He Doesn’t Use His Powers for Good?,2019-05-24,0,2019-05-23,R,Brightburn,brightburn
116,JEANNETTE CATSOULIS,‘Q Ball’ Review: Shooting Hoops While Doing Time,2019-05-17,0,2019-05-23,,Q Ball,q_ball
117,A.O. SCOTT,Review: ‘Booksmart’ Crashes the Party and Aces the Test,2019-05-24,1,2019-05-22,R,Booksmart,booksmart
118,A.O. SCOTT,‘Aladdin’ Review: This Is Not What You Wished For,2019-05-24,0,2019-05-22,PG,Aladdin,aladdin
119,JEANNETTE CATSOULIS,‘The Tomorrow Man’ Review: Love Among the Neuroses,2019-05-22,0,2019-05-21,PG-13,The Tomorrow Man,the_tomorrow_man
120,CANDICE FREDERICK,‘See You Yesterday’ Review: An All-Too-Real Time-Travel Fantasy,2019-05-17,0,2019-05-17,,See You Yesterday,see_you_yesterday
121,A.O. SCOTT,‘The Souvenir’ Review: A Great Movie About a Bad Boyfriend,2019-05-17,1,2019-05-16,R,The Souvenir,the_souvenir
122,JEANNETTE CATSOULIS,‘All Creatures Here Below’ Review: A Runaway Couple in Crisis,,1,2019-05-16,,All Creatures Here Below,all_creatures_here_below
123,GLENN KENNY,‘Asako I & II’ Review: Double the Love (and the Heartbreak),,1,2019-05-16,Not Rated,Asako I & II,asako_i_and_ii
124,JEANNETTE CATSOULIS,‘John Wick: Chapter 3’ Review: Keanu Reeves Is Back for Another Brutal Round,2019-05-17,0,2019-05-16,R,John Wick: Chapter 3 — Parabellum,john_wick_chapter_3_—_parabellum
125,KEN JAWOROWSKI,"‘Walking on Water’ Review: The Artist Christo Thinks Big, as Usual",,0,2019-05-16,,Walking on Water,walking_on_water
126,GLENN KENNY,‘Trial by Fire’ Review: A Strong Case Against the Death Penalty,2019-05-17,0,2019-05-16,R,Trial by Fire,trial_by_fire
