"Standard Report - Exports"
"Current date: 07/13/2019 5:29 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","All Districts","127,321,543"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","Charleston, SC","8,460,337"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","Detroit, MI","9,142,871"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","Houston-Galveston, TX","10,620,842"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","Los Angeles, CA","19,491,804"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","New York City, NY","19,464,559"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","Norfolk, VA","7,945,573"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","Ogdensburg, NY","8,794,230"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","San Francisco, CA","4,691,489"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","Savannah, GA","7,726,513"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","2019 through May","Seattle, WA","2,724,592"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","All Districts","22,902,611"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","Charleston, SC","2,034,175"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","Detroit, MI","1,731,189"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","Houston-Galveston, TX","2,495,947"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","Los Angeles, CA","3,344,800"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","New York City, NY","2,947,250"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","Norfolk, VA","1,276,131"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","Ogdensburg, NY","1,277,080"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","San Francisco, CA","959,715"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","Savannah, GA","1,214,228"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","January 2019","Seattle, WA","324,277"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","All Districts","23,901,660"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","Charleston, SC","1,706,679"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","Detroit, MI","1,767,599"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","Houston-Galveston, TX","2,140,872"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","Los Angeles, CA","3,091,591"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","New York City, NY","3,441,067"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","Norfolk, VA","1,468,221"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","Ogdensburg, NY","1,651,438"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","San Francisco, CA","871,603"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","Savannah, GA","1,566,461"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","February 2019","Seattle, WA","335,967"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","All Districts","26,260,600"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","Charleston, SC","1,225,554"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","Detroit, MI","1,906,520"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","Houston-Galveston, TX","2,619,675"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","Los Angeles, CA","3,790,928"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","New York City, NY","4,159,093"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","Norfolk, VA","1,466,539"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","Ogdensburg, NY","1,727,424"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","San Francisco, CA","872,697"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","Savannah, GA","1,387,060"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","March 2019","Seattle, WA","1,065,627"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","All Districts","26,702,886"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Charleston, SC","1,870,110"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Detroit, MI","1,793,947"
"3915 Waste, Parings And Scrap, Of Plastics","All Geographic Regions (World Total)","April 2019","Houston-Galveston, TX","1,714,806"
